lr-SGD/pg1,lr-SGD/pg2,step,val_loss,val_acc,epoch,scale0,scale1,scale2,scale3,l1_reg,scale_reg,loss,train_acc
,,6363,,,85,1.8872485160827637,0.381072998046875,2.0255095958709717,1.1717464923858643,0.0,1.3737714290618896,0.027674825862050056,0.9560810923576355
0.0001,0.001,6364,,,,,,,,,,,
,,6437,0.053888194262981415,0.9271523356437683,86,,,,,,,,
,,6437,,,86,1.8763524293899536,0.3833358883857727,2.017479419708252,1.163961410522461,0.0,1.3697993755340576,0.043105460703372955,0.9560810923576355
0.0001,0.001,6438,,,,,,,,,,,
,,6511,0.058613479137420654,0.940397322177887,87,,,,,,,,
,,6511,,,87,1.87105131149292,0.3925219476222992,2.0171866416931152,1.129861831665039,0.0,1.3678621053695679,0.04567163437604904,0.9155405163764954
0.0001,0.001,6512,,,,,,,,,,,
,,6585,0.05723034217953682,0.9205297827720642,88,,,,,,,,
,,6585,,,88,1.8609263896942139,0.4024195671081543,2.0145561695098877,1.0917153358459473,0.0,1.36415696144104,0.039144087582826614,0.9425675868988037
0.0001,0.001,6586,,,,,,,,,,,
,,6659,0.06963030993938446,0.9205297827720642,89,,,,,,,,
,,6659,,,89,1.86326265335083,0.4046037793159485,2.0212481021881104,1.0734994411468506,0.0,1.3650130033493042,0.028350433334708214,0.962837815284729
0.0001,0.001,6660,,,,,,,,,,,
,,6733,0.0725354552268982,0.9205297827720642,90,,,,,,,,
,,6733,,,90,1.8530796766281128,0.3976140022277832,2.006546974182129,1.1128190755844116,0.0,1.3612782955169678,0.02237537130713463,0.9797297120094299
0.0001,0.001,6734,,,,,,,,,,,
,,6807,0.061491958796978,0.9337748289108276,91,,,,,,,,
,,6807,,,91,1.8559972047805786,0.39035162329673767,2.007143497467041,1.1384124755859375,0.0,1.3623493909835815,0.036176811903715134,0.9493243098258972
0.0001,0.001,6808,,,,,,,,,,,
,,6881,0.05705874040722847,0.9271523356437683,92,,,,,,,,
,,6881,,,92,1.861969232559204,0.3920232057571411,2.018512487411499,1.1187626123428345,0.0,1.3645381927490234,0.03681991621851921,0.9527027010917664
0.0001,0.001,6882,,,,,,,,,,,
,,6955,0.054199736565351486,0.9271523356437683,93,,,,,,,,
,,6955,,,93,1.8573554754257202,0.3985555171966553,2.0204615592956543,1.0962107181549072,0.0,1.3628475666046143,0.05011051893234253,0.9087837934494019
0.0001,0.001,6956,,,,,,,,,,,
,,7029,0.05580437183380127,0.9470198750495911,94,,,,,,,,
,,7029,,,94,1.8716133832931519,0.3960387408733368,2.0372848510742188,1.0868489742279053,0.0,1.3680672645568848,0.04512576758861542,0.9391891956329346
0.0001,0.001,7030,,,,,,,,,,,
,,7103,0.055528003722429276,0.9337748289108276,95,,,,,,,,
,,7103,,,95,1.8885486125946045,0.3782244026660919,2.0439891815185547,1.1380696296691895,0.0,1.374243974685669,0.0770101249217987,0.8918918967247009
0.0001,0.001,7104,,,,,,,,,,,
,,7177,0.0635506808757782,0.9205297827720642,96,,,,,,,,
,,7177,,,96,1.8810566663742065,0.37568655610084534,2.0355305671691895,1.148155689239502,0.0,1.3715155124664307,0.034110818058252335,0.9594594836235046
0.0001,0.001,7178,,,,,,,,,,,
,,7251,0.0600888766348362,0.9271523356437683,97,,,,,,,,
,,7251,,,97,1.8699818849563599,0.3844331204891205,2.0313966274261475,1.121795415878296,0.0,1.3674726486206055,0.053733378648757935,0.912162184715271
0.0001,0.001,7252,,,,,,,,,,,
,,7325,0.07729677110910416,0.8741722106933594,98,,,,,,,,
,,7325,,,98,1.8606027364730835,0.3836662173271179,2.024303913116455,1.1275781393051147,0.0,1.364038348197937,0.033349476754665375,0.9493243098258972
